Subzone,Planning Area,Population
PASIR RIS PARK,Pasir Ris,7960
PASIR RIS WAFER FAB PARK,Pasir Ris,10
PASIR RIS WEST,Pasir Ris,35580
PATERSON,River Valley,310
PAYA LEBAR EAST,Paya Lebar,0
PAYA LEBAR NORTH,Paya Lebar,30
PAYA LEBAR WEST,Paya Lebar,0
PEARL'S HILL,Outram,5430
PEI CHUN,Toa Payoh,10090
PENG SIANG,Choa Chu Kang,34250
PENJURU CRESCENT,Jurong East,10
PEOPLE'S PARK,Outram,270
PHILLIP,Downtown Core,10
PIONEER SECTOR,Pioneer,10
PLAB,Paya Lebar,0
PLANTATION,Tengah,0
PORT,Queenstown,120
POTONG PASIR,Toa Payoh,12690
PULAU PUNGGOL BARAT,Seletar,0
PULAU PUNGGOL TIMOR,Seletar,0
PULAU SELETAR,Simpang,0
PUNGGOL CANAL,Punggol,0
PUNGGOL FIELD,Punggol,49010
PUNGGOL TOWN CENTRE,Punggol,24770
QUEENSWAY,Queenstown,280
RAFFLES PLACE,Downtown Core,40
REDHILL,Bukit Merah,11090
RESERVOIR VIEW,Sungei Kadut,10
RIDOUT,Tanglin,1560
RIVERVALE,Sengkang,59180
ROBERTSON QUAY,Singapore River,3770
ROCHOR CANAL,Rochor,0
SAFTI,Jurong West,0
SAMULUN,Boon Lay,10
SAUJANA,Bukit Panjang,25350
SELEGIE,Rochor,160
SELETAR,Seletar,280
SELETAR AEROSPACE PARK,Seletar,10
SELETAR HILLS,Serangoon,15480
SEMAKAU,Western Islands,0
SEMBAWANG CENTRAL,Sembawang,35600
SEMBAWANG EAST,Sembawang,21980
SEMBAWANG HILLS,Ang Mo Kio,6990
SEMBAWANG NORTH,Sembawang,25890
SEMBAWANG SPRINGS,Sembawang,9630
SEMBAWANG STRAITS,Sembawang,2400
SENGKANG TOWN CENTRE,Sengkang,61210
SENGKANG WEST,Sengkang,0
SENJA,Bukit Panjang,23730
SENNETT,Toa Payoh,16110
SENOKO NORTH,Sembawang,10
SENOKO SOUTH,Sembawang,20
SENOKO WEST,Woodlands,40
SENTOSA,Southern Islands,2350
SERANGOON CENTRAL,Serangoon,24020
SERANGOON GARDEN,Serangoon,36350
SERANGOON NORTH,Serangoon,15590
SERANGOON NORTH IND ESTATE,Serangoon,10
SHANGRI-LA,Ang Mo Kio,17630
SHIPYARD,Boon Lay,10
SIGLAP,Bedok,7320
SIMEI,Tampines,39050
SIMPANG NORTH,Simpang,0
SIMPANG SOUTH,Simpang,0
SINGAPORE GENERAL HOSPITAL,Bukit Merah,10
SINGAPORE POLYTECHNIC,Queenstown,120
SOMERSET,Orchard,170
SOUTHERN GROUP,Southern Islands,0
SPRINGLEAF,Yishun,4440
STRAITS VIEW,Straits View,0
SUDONG,Western Islands,0
SUNGEI ROAD,Rochor,1960
SUNSET WAY,Clementi,5520
SWISS CLUB,Bukit Timah,5950
TAGORE,Ang Mo Kio,7960
TAI SENG,Hougang,13300
TAMAN JURONG,Jurong West,39600
TAMPINES EAST,Tampines,126460
TAMPINES NORTH,Tampines,25680
TAMPINES WEST,Tampines,81370
TANGLIN,Orchard,530
TANGLIN HALT,Queenstown,5520
TANJONG IRAU,Simpang,0
TANJONG PAGAR,Downtown Core,870
TANJONG RHU,Kallang,11460
TEBAN GARDENS,Jurong East,17780
TECK WHYE,Choa Chu Kang,24430
TELOK BLANGAH DRIVE,Bukit Merah,19390
TELOK BLANGAH RISE,Bukit Merah,11780
TELOK BLANGAH WAY,Bukit Merah,8590
TENGAH INDUSTRIAL ESTATE,Tengah,0
TENGEH,Tuas,0
THE WHARVES,Sembawang,0
TIONG BAHRU,Bukit Merah,12240
TIONG BAHRU STATION,Bukit Merah,14870
TOA PAYOH CENTRAL,Toa Payoh,27570
TOA PAYOH WEST,Toa Payoh,14120
TOH GUAN,Jurong East,14120
TOH TUCK,Clementi,20
TOWNSVILLE,Ang Mo Kio,20210
TRAFALGAR,Hougang,50080
TUAS BAY,Tuas,10
TUAS NORTH,Tuas,20
TUAS PROMENADE,Tuas,10
TUAS VIEW,Tuas,20
TUAS VIEW EXTENSION,Tuas,10
TUKANG,Boon Lay,10
TURF CLUB,Sungei Kadut,680
TYERSALL,Tanglin,4140
ULU PANDAN,Bukit Timah,11470
UPPER PAYA LEBAR,Serangoon,18650
UPPER THOMSON,Bishan,31090
VICTORIA,Rochor,1700
WATERWAY EAST,Punggol,53580
WENYA,Jurong West,8280
WEST COAST,Clementi,10100
WOODGROVE,Woodlands,33130
WOODLANDS EAST,Woodlands,100220
WOODLANDS REGIONAL CENTRE,Woodlands,0
WOODLANDS SOUTH,Woodlands,40270
WOODLANDS WEST,Woodlands,35460
WOODLEIGH,Toa Payoh,3350
XILIN,Tampines,1810
YEW TEE,Choa Chu Kang,40070
YIO CHU KANG,Ang Mo Kio,10
YIO CHU KANG EAST,Ang Mo Kio,4400
YIO CHU KANG NORTH,Ang Mo Kio,0
YIO CHU KANG WEST,Ang Mo Kio,23820
YISHUN CENTRAL,Yishun,2960
YISHUN EAST,Yishun,70190
YISHUN SOUTH,Yishun,41920
YISHUN WEST,Yishun,52160
YUHUA EAST,Jurong East,24070
YUHUA WEST,Jurong East,18800
YUNNAN,Jurong West,66890
